Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Dominant Rock Type
Veer,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Minor (Basaltic),Pyroclastic cone(s),Eruption Dated,390 CE,53.7525,158.4478,520,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Kostakan,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Minor (Basaltic),Pyroclastic cone(s),Eruption Dated,1350 CE,53.833,158.052,1150,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Bakening,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,550 BCE,53.905,158.07,2278,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Zavaritsky,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Minor,Pyroclastic cone(s),Eruption Dated,800 BCE,53.905,158.385,1567,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Akademia Nauk,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1996 CE,53.98,159.45,1180,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Karymsky,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,54.049,159.443,1513,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Maly Semyachik,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Caldera,Eruption Observed,1952 CE,54.135,159.674,1527,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Bolshoi Semiachik,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,4450 BCE,54.32,160.02,1720,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Taunshits,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,550 BCE,54.528,159.804,2301,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Uzon,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Caldera,Caldera(s),Eruption Dated,200 CE,54.4885,159.9741,1617,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Kikhpinych,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,1550 CE,54.489,160.251,1515,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Krasheninnikov,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Caldera,Eruption Dated,1550 CE,54.596,160.27,1816,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Kronotsky,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1923 CE,54.753,160.533,3482,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Gamchen,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Complex,Eruption Dated,550 BCE,54.974,160.703,2539,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Komarov,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,950 CE,55.033,160.725,2065,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Vysoky,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,550 BCE,55.064,160.765,2129,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Kizimen,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2013 CE,55.131,160.32,2334,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Tolbachik,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Shield,Shield,Eruption Observed,2013 CE,55.832,160.326,3611,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Udina,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano(es),Evidence Credible,Unknown,55.758,160.527,2886,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Zimina,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano(es),Evidence Credible,Unknown,55.862,160.603,3057,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Bezymianny,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,55.972,160.595,2882,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Kamen,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,56.02,160.593,4585,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Klyuchevskoy,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2023 CE,56.056,160.642,4754,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Ushkovsky,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Compound,Eruption Observed,1890 CE,56.113,160.509,3943,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Sheveluch,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,56.653,161.36,3283,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Piip,Russia,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Dated,5050 BCE,55.42,167.33,-300,Subduction zone / Intermediate crust (15-25 km),Dacite
Khangar,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1500 CE,54.761,157.407,1967,Subduction zone / Continental crust (>25 km),Dacite
Cherpuk Group,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Minor,Pyroclastic cone(s),Eruption Dated,4550 BCE,55.55,157.47,1868,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Ichinsky,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1740 CE,55.678,157.718,3596,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Bolshoi-Kekuknaysky,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Shield,Shield(s),Eruption Dated,5310 BCE,56.483,157.917,1401,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Alney-Chashakondzha,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1600 CE,56.656,159.647,2570,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Shisheika,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Minor (Basaltic),Lava dome,Eruption Dated,2240 BCE,57.153,161.09,355,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Terpuk,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Shield,Shield,Eruption Dated,800 BCE,57.2,159.83,765,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Sedanka Lava Field,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Cluster,Volcanic field,Eruption Dated,7050 BCE,57.317,160.067,1399,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Gorny Institute,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1250 CE,57.33,160.2,2125,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Kinenin,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Minor,Maar,Eruption Dated,850 CE,57.35,160.97,583,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Bliznetsy,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Minor,Lava cone,Eruption Dated,1060 BCE,57.35,161.37,265,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Titila,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Shield,Shield(s),Eruption Dated,550 BCE,57.406,160.108,1523,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Elovsky,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Shield,Shield(s),Eruption Dated,7550 BCE,57.55,160.53,1381,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Nylgimelkin,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Shield,Shield(s),Eruption Dated,3550 BCE,57.97,160.65,1764,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Spokoiny,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,3450 BCE,58.13,160.82,2171,Subduction zone / Continental crust (>25 km),Dacite
Ostry,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,2050 BCE,58.18,160.82,2552,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Severny,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Shield,Shield,Eruption Dated,1550 BCE,58.28,160.87,1936,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Udokan Plateau,Russia,Eastern Asia Volcanic Regions,Baikal Volcanic Province,Cluster,Volcanic field,Eruption Dated,220 BCE,56.28,117.77,2180,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Vitim Volcanic Field,Russia,Eastern Asia Volcanic Regions,Baikal Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,53.75,113.25,1250,Unknown,Basalt / Picro-Basalt
Tunkin Depression,Russia,Eastern Asia Volcanic Regions,Baikal Volcanic Province,Cluster,Volcanic field,Evidence Uncertain,Unknown,51.5,102.5,1200,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Jom-Bolok,Russia,Eastern Asia Volcanic Regions,Baikal Volcanic Province,Cluster,Volcanic field,Eruption Dated,5180 BCE,52.713,99.021,2047,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Azas Plateau,Russia,Eastern Asia Volcanic Regions,Baikal Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,52.433,98.303,2765,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Taryatu-Chulutu,Mongolia,Eastern Asia Volcanic Regions,Baikal Volcanic Province,Cluster,Volcanic field,Eruption Dated,2980 BCE,48.133,99.95,2326,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Khanuy Gol,Mongolia,Eastern Asia Volcanic Regions,Baikal Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,48.67,102.75,1886,Intraplate / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite
Dariganga Volcanic Field,Mongolia,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,45.754,114.279,1778,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Ashikule Volcanic Field,China,Eastern Asia Volcanic Regions,Kunlun Fault Volcano Group,Cluster,Volcanic field,Eruption Observed,1951 CE,35.742,81.646,5090,Intraplate / Continental crust (>25 km),Trachyte / Trachydacite
Honggeertu,China,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Cluster,Volcanic field,Evidence Uncertain,Unknown,41.59,113.111,1605,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Arxan-Chaihe,China,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Cluster,Volcanic field,Eruption Dated,0 CE,47.45,120.8,1677,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Keluo Group,China,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,49.37,125.92,670,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Wudalianchi,China,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Cluster,Volcanic field,Eruption Observed,1776 CE,48.722,126.15,597,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Jingpohu,China,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Cluster,Volcanic field,Eruption Dated,520 BCE,44.08,128.83,1000,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Longgang Group,China,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Cluster,Volcanic field,Eruption Dated,350 CE,42.33,126.5,1000,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Changbaishan,China-North Korea,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Composite,Stratovolcano,Eruption Observed,1903 CE,41.98,128.08,2744,Intraplate / Continental crust (>25 km),Trachyte / Trachydacite
Ch'uga-ryong,North Korea-South Korea,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Shield,Shield,Evidence Uncertain,Unknown,38.33,127.33,452,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Ulleungdo,South Korea,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Composite,Stratovolcano,Eruption Dated,2990 BCE,37.5,130.87,984,Intraplate / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite
Halla,South Korea,Eastern Asia Volcanic Regions,East-Central Asia Volcanic Province,Shield,Shield,Eruption Observed,1007 CE,33.361,126.53,1919,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Buldir,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,52.35,175.911,656,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Kiska,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1990 CE,52.103,177.602,1220,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Segula,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,52.015,178.136,1160,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Davidof,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,51.97,178.33,328,Subduction zone / Intermediate crust (15-25 km),No Data (checked)
Little Sitkin,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1830 CE,51.95,178.543,1174,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Semisopochnoi,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2023 CE,51.93,179.58,1221,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Gareloi,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1989 CE,51.79,-178.794,1573,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Tanaga,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1914 CE,51.885,-178.146,1806,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Takawangha,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1550 CE,51.873,-178.006,1449,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Bobrof,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,51.91,-177.438,738,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Kanaga,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2023 CE,51.923,-177.168,1307,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Moffett,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1600 BCE,51.944,-176.747,1196,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Great Sitkin,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,52.076,-176.13,1740,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Kasatochi,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2008 CE,52.177,-175.508,314,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Koniuji,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1150 BCE,52.22,-175.13,273,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Atka Volcanic Complex,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,2024 CE,52.331,-174.139,1518,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Seguam,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1993 CE,52.315,-172.51,1054,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Amukta,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1997 CE,52.5,-171.252,1066,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Chagulak,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,52.577,-171.13,1142,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Yunaska,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Shield,Shield,Eruption Observed,1937 CE,52.6394,-170.6317,550,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Herbert,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,52.742,-170.111,1280,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Carlisle,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1828 CE,52.894,-170.054,1620,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Cleveland,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2020 CE,52.825,-169.944,1730,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Tana,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano(es),Evidence Credible,Unknown,52.83,-169.77,1170,Subduction zone / Intermediate crust (15-25 km),Rhyolite
Uliaga,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,53.065,-169.77,888,Subduction zone / Intermediate crust (15-25 km),No Data (checked)
Kagamil,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1929 CE,52.974,-169.72,893,Subduction zone / Intermediate crust (15-25 km),No Data (checked)
Vsevidof,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1878 CE,53.13,-168.693,2149,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Recheschnoi,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,53.157,-168.539,1984,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Okmok,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Shield,Shield,Eruption Observed,2008 CE,53.43,-168.13,1073,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Bogoslof,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2017 CE,53.93,-168.03,150,Subduction zone / Intermediate crust (15-25 km),Trachyandesite / Basaltic Trachyandesite
Makushin,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1995 CE,53.891,-166.923,1800,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Akutan,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1992 CE,54.134,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Westdahl,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano?,Eruption Observed,1992 CE,54.516,-164.65,1563,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Fisher,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1830 CE,54.65,-164.43,1112,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Shishaldin,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2023 CE,54.756,-163.97,2857,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Roundtop,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Dated,7600 BCE,54.8,-163.589,1871,Subduction zone / Continental crust (>25 km),Rhyolite
Amak,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1796 CE,55.4184,-163.1472,547,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Frosty,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano(es),Evidence Credible,Unknown,55.067,-162.835,1728,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Dutton,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,55.183,-162.276,1465,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Emmons Lake Volcanic Center,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Caldera,Caldera,Evidence Credible,Unknown,55.3519,-162.0445,1534,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Pavlof,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2022 CE,55.417,-161.894,2493,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Pavlof Sister,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,55.457,-161.854,2142,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Dana,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1890 BCE,55.641,-161.214,1354,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Stepovak Bay Group,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Cluster,Volcanic field,Evidence Credible,Unknown,55.917,-160.017,1633,Subduction zone / Continental crust (>25 km),
Kupreanof,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,56.011,-159.797,1895,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Veniaminof,United States,North American Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2021 CE,56.17,-159.38,2507,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Black Peak,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1900 BCE,56.552,-158.785,1032,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Aniakchak,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Caldera,Caldera,Eruption Observed,1931 CE,56.88,-158.17,1341,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Yantarni,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Eruption Dated,800 BCE,57.019,-157.185,1345,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Chiginagak,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1998 CE,57.135,-156.99,2221,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Kialagvik,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,57.203,-156.745,1677,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Ugashik-Peulik,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1814 CE,57.751,-156.368,1474,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Ukinrek Maars,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Minor (Basaltic),Maar(s),Eruption Observed,1977 CE,57.8344,-156.5203,91,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Unnamed,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Minor (Silicic),Lava dome,Evidence Credible,Unknown,57.87,-155.411,402,Subduction zone / Continental crust (>25 km),No Data (checked)
Martin,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1953 CE,58.172,-155.361,1863,Subduction zone / Continental crust (>25 km),Dacite
Mageik,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Eruption Dated,500 BCE,58.195,-155.253,2165,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Trident,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1974 CE,58.236,-155.1,1864,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Katmai,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1912 CE,58.279,-154.9533,2047,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Novarupta,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Caldera,Caldera,Eruption Observed,1912 CE,58.2655,-155.1588,841,Subduction zone / Continental crust (>25 km),Rhyolite
Griggs,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1790 BCE,58.354,-155.092,2317,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Snowy Mountain,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,1710 CE,58.336,-154.682,2162,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Denison,United States,North American Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,58.418,-154.449,2287,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
